city,country,type,name,lat,lon
London (new),UK,hall,City Hall Royal Docks (2022–),51.5073,0.0162
London (new),UK,geo,Geometric centroid,51.4972,-0.1003
London (new),UK,pw,Pop-weighted centroid,51.50701,-0.11406
London (new),UK,zero,Charing Cross,51.5074,-0.1278
London (new),UK,parliament,Palace of Westminster,51.4994,-0.1247
London (new),UK,leader,10 Downing Street,51.5034,-0.1276
London (old),UK,hall,City Hall More London (2002–2021),51.5054,-0.0785
London (old),UK,geo,Geometric centroid,51.4972,-0.1003
London (old),UK,pw,Pop-weighted centroid,51.50701,-0.11406
London (old),UK,zero,Charing Cross,51.5074,-0.1278
London (old),UK,parliament,Palace of Westminster,51.4994,-0.1247
London (old),UK,leader,10 Downing Street,51.5034,-0.1276
Paris,France,hall,Hôtel de Ville,48.8559,2.3525
Paris,France,geo,Geometric centroid,48.85732,2.34704
Paris,France,pw,Pop-weighted centroid,48.86049,2.34426
Paris,France,zero,Notre-Dame Km Zéro,48.8530,2.3499
Paris,France,parliament,Assemblée Nationale,48.8634,2.3182
Paris,France,leader,Élysée Palace,48.8713,2.3166
Berlin,Germany,hall,Rotes Rathaus,52.5178,13.4050
Berlin,Germany,geo,Geometric centroid,52.50021,13.40449
Berlin,Germany,pw,Pop-weighted centroid,52.51056,13.40339
Berlin,Germany,zero,Brandenburg Gate,52.5163,13.3777
Berlin,Germany,parliament,Bundestag (Reichstag),52.5186,13.3762
Berlin,Germany,leader,Bundeskanzleramt,52.5207,13.3688
Vienna,Austria,hall,Wiener Rathaus,48.2107,16.3581
Vienna,Austria,geo,Geometric centroid,48.22319,16.38414
Vienna,Austria,pw,Pop-weighted centroid,48.20312,16.36649
Vienna,Austria,zero,Stephansdom,48.2082,16.3738
Vienna,Austria,parliament,Parlament,48.2048,16.3571
Vienna,Austria,leader,Bundeskanzleramt,48.2082,16.3581
Brussels,Belgium,hall,Hôtel de Ville (Grand Place),50.8467,4.3525
Brussels,Belgium,geo,Geometric centroid,50.8367,4.37041
Brussels,Belgium,pw,Pop-weighted centroid,50.84279,4.36113
Brussels,Belgium,zero,Grand Place,50.8467,4.3525
Brussels,Belgium,parliament,Palais de la Nation,50.8473,4.3653
Brussels,Belgium,leader,Wetstraat 16 (Prime Minister),50.8459,4.3681
Oslo,Norway,hall,Oslo Rådhus,59.9071,10.7335
Oslo,Norway,geo,Geometric centroid,59.96925,10.65234
Oslo,Norway,pw,Pop-weighted centroid,59.92074,10.76887
Oslo,Norway,zero,Oslo Cathedral,59.9127,10.7461
Oslo,Norway,parliament,Stortinget,59.9130,10.7387
Oslo,Norway,leader,Statsministerens kontor,59.9134,10.7395
Madrid,Spain,hall,Palacio de Cibeles,40.4196,-3.6925
Madrid,Spain,geo,Geometric centroid,40.42276,-3.67492
Madrid,Spain,pw,Pop-weighted centroid,40.42318,-3.68334
Madrid,Spain,zero,Puerta del Sol Km 0,40.4169,-3.7035
Madrid,Spain,parliament,Congreso de los Diputados,40.4159,-3.6976
Madrid,Spain,leader,Palacio de la Moncloa,40.4478,-3.7214
Barcelona,Spain,hall,Ajuntament de Barcelona,41.3826,2.1769
